Product/Service Name,Quantity on hand,Item type,Category,SKU,Purchase cost includes tax,Sales price/rate includes tax,Price,Cost,Income Account,Expense Account,Stock asset account,Sales Description,Purchase Description,Reorder Point
24MM Masking tape,0,Service,,,No,No,0,0,Services,Purchases,,24mm Masking Tape,,0
25MPa-PUMP/MIX,0,Non-Stock,,,No,No,,,Services,Purchases,,25MPa Concrete -Foundation (pump mix),25MPa Concrete -Foundation (pump mix),0
48mm Masking Tape,0,Service,,,No,No,0,0,Services,Purchases,,48mm Masking Tape,,0
ABR-YELL-P80,0,Non-Stock,,,No,No,787.5,787.5,Purchases,Purchases,,"Yellow (P80) Abrasive Roll
115 x 50m","Yellow (P80) Abrasive Roll
115 x 50m",0
ADH-001,0,Non-Stock,,,No,No,57.37,57.37,Purchases,Purchases,,"Tile Africa Ceramic tile adhesive
(20kg)","Tile Africa Ceramic tile adhesive
(20kg)",0
ADH-002,0,Non-Stock,,,No,No,555.8,555.8,Purchases,Purchases,,"TAL-Flex ready mix adhesive
(5kg)","TAL-Flex ready mix adhesive
(5kg)",0
ADH-003,0,Non-Stock,,,No,No,120.24,120.24,Purchases,Purchases,,"TAL-Bond liquid 
(5L)","TAL-Bond liquid 
(5L)",0
ADH-W.GLUE-20L,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Standard Wood Glue
20L","Standard Wood Glue
20L",0
ALU-ANGLE-001,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Aluminium Angle
12 x 12 x 2 (6m)","Aluminium Angle
12 x 12 x 2 (6m)",0
ALU-ANGLE-002,0,Non-Stock,,,No,No,0,0,Purchases,Purchases,,"Aluminium Angle
19 x 19 x 1.6 (6m)","Aluminium Angle
19 x 19 x 1.6 (6m)",0
ALU-ANGLE-003,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Aluminium Angle
25.4 x 25.4 x 1.52 (6m)","Aluminium Angle
25.4 x 25.4 x 1.52 (6m)",0
ALU-ANGLE-004,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Aluminium Angle
40 x 40 x 2 (6m)","Aluminium Angle
40 x 40 x 2 (6m)",0
ALU-ANGLE-005,0,Non-Stock,,,No,No,0,0,Purchases,Purchases,,"Aluminium U-Channel
47.05 x 19.06 x 1.52","Aluminium U-Channel
47.05 x 19.06 x 1.52",0
ALU-ANGLE-006,0,Non-Stock,,,No,No,,,Purchases,Purchases,,"Aluminium Angle
50 x 50 x 2 (6m)","Aluminium Angle
50 x 50 x 2 (6m)",0
ARMOX-500T,0,Non-Stock,,4331,No,No,44387.88,44387.88,Purchases,Purchases,,"ARMOX 500-T 
2400 x 6000 x 6.5mm","ARMOX 500-T 
2400 x 6000 x 6.5mm",0
BASIN-S/S-KNEE,0,Non-Stock,,,No,No,,,Services,Purchases,,"S/S Knee operated wash hand basin supplied with push plate and single sink mount swivel tap
400 x 300 x 200mm High","S/S Knee operated wash hand basin supplied with push plate and single sink mount swivel tap
400 x 300 x 200mm High",0
