Supplier,Company name,Street Address,City,State,Country,Zip,Phone,Email,Attachments,Open Balance
24HR HEALTH & SAFETY,24 Hour Health & Safety,"1606 Chalgrove Street,
Henley on Klip

Attn: Junanna Labuschagne",,,,,016-366-7816,junanna@vodamail.co.za,0,0.00
2G&G,Divine Inspiration Trading 591 (PTY) Ltd,"16 Silver Street 
Cape Town
Western Cape 
7560

Attn     : Charmaine Booysen
Tel        : 083 557 0487
E-Mail  : charmaine@2gng.co.za",,,,,,charmaine@2gng.co.za,0,0.00
3Q CONCRETE -Middleburg,3Q Concrete (Middleburg),"3Q Mahuma Concrete (PTY) Ltd
Plot 307, JQ, Waterfall
Hexrivier,",Rustenburg,,,,014 592 2202,Silindile.Khumalo@ppc.co.za,0,0.00
AFRISAM -H/O,Afrisam SA  (PTY) Ltd,"AfriSam House, Constantia Park, Cnr 14th ave, 
Hendrik Potgieter Rd, 
Weltevredenpark,",Roodepoort,,South Africa,1709,016 986 9546,susan.Burger@za.afrisam.com,0,0.00
AIRPORT STEEL,Airport Steel,"Unit 2, Pomona Park
Pomona Road",Kempton Park,,South Africa,1619,(011) 396-1450,charmaine@airportsteel.co.za,0,0.00
ALL AFRICA VILLAGE CONV. CENTRE,Engen All Africa Village Conv. Centre,"Lenin Dr, Far East Bank,
Alexandra,
2014
011 264 1090",,,,,011 264 1090,,0,0.00
ALPHA BUILDERS SUPPLY,Alpha Builders Supply,"Bergrivier Dr &, Vaseur Rd, 
Choolorkop,",Kempton Park,,,1624,011 976 3118,,0,0.00
ALUMINIUM TRADING,Aluminium Trading JHB (PTY) Ltd,"128 Terrace Road
Sebenza
1609

Attn   : Jenna Biassoni 
Tell     : 011 457 7200
Email : Jenna@aluminiumtrading.co.za",,,,,(011) 457-7200,Jenna@aluminiumtrading.co.za,0,0.00
AMABERETHE FORENSIC TECHN,Amaberethe Forensic Technologies,"P.O. Box 2985
Hammanskraal",,,,1400,,amaberethe@gmail.com,0,0.00
AMS,Air Movement Supplies,"Unit B20
Linbro Business Park
5 Galaxy Ave",Sandton,,South Africa,2196,(011) 608-1749,rohan@airmove.co.za,0,0.00
